tract_name,population
1.06,6105
1.07,4684
1.08,4043
1.09,3066
1.10,3641
1.11,3048
1.12,4731
1.13,3148
1.14,3501
10.01,2838
10.02,3208
101.01,6742
101.02,2849
101.03,5040
102.03,2902
102.10,8175
102.11,2869
102.12,6731
102.13,8894
102.14,6103
102.17,4199
102.18,4316
102.20,7075
102.22,1945
102.23,4496
102.24,5091
102.25,5076
102.26,5427
102.27,3875
102.28,5767
102.29,6970
102.30,2096
102.31,4329
102.32,4235
103.03,4464
103.07,5566
103.11,6296
103.12,3788
103.16,3711
103.17,3648
103.22,5658
103.23,3891
103.26,4809
103.27,3121
103.28,4513
103.29,5664
103.33,4275
103.34,3647
103.35,3065
103.36,5734
103.37,8541
103.38,7321
103.44,3721
103.46,5703
103.47,4124
103.48,3915
103.49,2569
103.50,4754
103.51,2917
103.52,5766
103.53,4896
103.54,8572
103.55,4560
103.56,4966
103.57,7837
103.58,12441
103.59,2750
103.60,3234
103.61,3026
103.62,8286
103.63,6341
103.64,2494
103.65,4408
103.66,7865
103.67,11044
103.68,11026
103.69,15518
103.70,22670
103.71,4823
103.72,6084
104.01,7760
104.04,5369
104.06,2816
104.08,2819
104.09,6232
104.10,5143
104.11,3370
104.12,4739
104.13,2036
105.01,5615
105.02,1522
105.04,1788
105.05,2125
105.06,2194
106.01,707
106.02,5566
11.07,5957
11.09,5440
11.10,5019
11.11,5462
11.12,4222
11.14,4490
11.15,4322
11.16,2599
11.17,5654
11.18,2668
11.19,4061
12.02,5458
12.04,4851
13.01,3102
13.02,6418
14,2132
15.01,4299
15.02,2577
16,3981
17,1058
18,918
19,2150
2.04,5198
2.05,4308
2.06,5365
2.07,4294
2.08,5252
20,1847
21,1966
22.01,2695
22.02,3766
23,3866
24,3229
25,5144
26,2649
28,3876
29,1154
3.01,6196
3.02,5182
30,4366
31,2993
32,2207
33,5018
34.02,6122
34.03,5584
34.04,6244
35.01,3562
35.02,3963
36.01,3350
36.02,2894
37.01,4369
37.02,3534
38.01,4807
38.03,2632
38.04,3528
39.01,2945
39.02,2628
39.04,3357
39.05,2481
4.01,5436
4.03,4002
4.04,3291
40.04,5243
40.05,5739
40.06,3728
40.07,3212
40.08,3460
41.03,5853
41.04,6794
41.05,3110
41.06,5078
41.07,1361
42.01,4949
42.02,5168
43.03,5560
43.07,5540
43.09,5511
43.10,5300
43.11,4798
43.12,5941
43.13,3552
43.14,4872
43.16,5195
43.17,4833
43.18,3247
43.19,4870
43.20,2822
6,4167
8,4905
9.01,5192
9.02,3099
9800,0
